Survivor Gender,Steam Player,Anonymous Mode,Prestige,Item,Map Area,Survivor BP,Killer BP,Result
M,No,No,26,Medkit,,21706,25250,Escape
M,No,No,11,Medkit,,16049,25250,Dead
F,No,No,11,Toolbox,,15402,25250,Dead
F,No,No,5,Toolbox,,7048,25250,Dead
F,Yes,No,54,Toolbox,,15996,25700,Dead
F,No,No,34,Toolbox,,15203,25700,Escape
F,No,Yes,27,Toolbox,,15083,25700,Dead
F,Yes,Yes,100,None,,3666,25700,Dead
M,Yes,No,65,Toolbox,,18624,36097,Dead
F,No,No,17,Medkit,,18040,36097,Dead
F,No,Yes,14,None,,15138,36097,Dead
M,No,No,3,Medkit,,11979,36097,Dead
M,Yes,No,1,None,,17281,34986,Dead
F,No,No,23,Flashlight,,16378,34986,Dead
M,Yes,No,1,None,,13856,34986,Dead
F,Yes,No,16,Flashlight,,10694,34986,Dead
F,No,No,8,Medkit,,19962,32535,Dead
F,No,No,4,Medkit,,12278,32535,Dead
M,No,No,0,None,,11427,32535,Dead
F,No,No,45,Medkit,,11271,32535,Dead
F,Yes,No,12,Medkit,,27355,33002,Escape
F,No,No,39,Medkit,,22608,33002,Dead
F,No,No,14,Medkit,,20040,33002,Dead
M,Yes,No,38,Toolbox,,15673,33002,Dead
M,Yes,No,13,Medkit,,24987,35622,Escape
F,Yes,No,85,None,,20596,35622,Dead
F,Yes,No,10,Medkit,,16274,35622,Dead
F,Yes,Yes,41,Medkit,,14697,35622,Dead
F,Yes,No,35,Toolbox,,17332,26613,Dead
F,Yes,No,23,Medkit,,12193,26613,Dead
F,No,No,5,Medkit,,11861,26613,Dead
F,Yes,No,2,None,,5909,26613,Dead
F,Yes,No,51,Toolbox,,13005,23890,Dead
M,No,No,100,Medkit,,8417,23890,Dead
F,Yes,No,13,Medkit,,3710,23890,Dead
M,No,No,76,None,,2020,23890,Dead
M,Yes,Yes,34,Flashlight,,21298,34472,Dead
M,No,No,57,Toolbox,,15357,34472,Dead
M,Yes,No,100,Flashlight,,14351,34472,Dead
M,No,No,1,None,,11094,34472,Dead
F,No,No,2,Toolbox,,24096,18679,Escape
F,Yes,No,5,Medkit,,20092,18679,Escape
F,No,No,8,Toolbox,,18069,18679,Escape
F,No,No,1,Medkit,,10293,18679,Escape
F,No,Yes,34,Toolbox,,27077,28279,Escape
F,Yes,Yes,54,Toolbox,,20885,28279,Escape
M,Yes,No,100,None,,19657,28279,Dead
M,No,No,13,Medkit,,17951,28279,Dead
M,Yes,No,100,Medkit,,20936,30436,Dead
F,No,No,4,None,,18413,30436,Dead
M,Yes,No,4,Flashlight,,16761,30436,Dead
F,Yes,No,95,None,,13133,30436,Dead
F,Yes,No,9,Flashlight,,26641,36808,Dead
M,Yes,No,2,Toolbox,,22257,36808,Dead
F,No,No,34,None,,17993,36808,Dead
F,Yes,No,5,Medkit,,16281,36808,Dead
M,No,No,11,Toolbox,,16806,27092,Dead
M,Yes,No,3,Medkit,,13399,27092,Dead
M,No,Yes,3,Medkit,,12030,27092,Dead
F,No,No,68,Flashlight,,8219,27092,Dead
M,No,No,22,Medkit,,33449,42702,Dead
M,No,No,8,Flashlight,,28967,42702,Escape
M,No,No,71,Medkit,,22241,42702,Escape
F,No,No,14,Medkit,,17992,42702,Dead
M,No,No,3,Flashlight,,13444,29308,Dead
F,Yes,Yes,52,Flashlight,,11669,29308,Dead
F,Yes,Yes,3,Flashlight,,3884,29308,Dead
M,Yes,No,8,Toolbox,,960,29308,Dead
F,No,No,37,Medkit,,33959,45950,Dead
M,No,No,9,Medkit,,26309,45950,Dead
F,No,No,21,Medkit,,18619,45950,Dead
F,No,No,56,Medkit,,9619,45950,Dead
M,Yes,No,100,None,,29793,35248,Dead
F,No,No,56,Medkit,,16807,35248,Dead
M,No,No,1,None,,13774,35248,Dead
F,Yes,No,62,Toolbox,,11060,35248,Dead
M,No,No,100,Toolbox,,35634,41280,Dead
F,Yes,No,72,Flashlight,,27539,41280,Dead
F,Yes,No,72,Flashlight,,24837,41280,Dead
F,Yes,Yes,24,None,,17718,41280,Dead
M,Yes,No,6,Toolbox,,44934,40886,Escape
M,No,No,4,Medkit,,38857,40886,Escape
F,Yes,No,100,Flashlight,,21700,40886,Dead
F,Yes,No,100,Flashlight,,2159,40886,Dead
F,Yes,Yes,63,Medkit,,32169,35716,Escape
F,No,No,25,Flashlight,,17653,35716,Dead
F,Yes,No,100,Medkit,,16713,35716,Dead
F,No,No,22,Flashlight,,0,35716,Dead
F,No,No,4,None,,21047,25094,Escape
F,No,No,13,Flashlight,,10018,25094,Dead
F,No,No,27,Toolbox,,8251,25094,Dead
M,No,No,11,Flashlight,,7934,25094,Dead
F,No,No,81,Medkit,,33857,42818,Dead
F,No,No,76,Medkit,,26844,42818,Dead
M,No,No,22,Medkit,,11963,42818,Dead
F,No,No,75,Flashlight,,10497,42818,Dead
F,Yes,No,12,Map,,39583,35325,Escape
F,Yes,No,2,None,,24853,35325,Dead
F,Yes,No,23,Flashlight,,20692,35325,Dead
M,No,No,100,Medkit,,7050,35325,Dead
F,Yes,No,88,Medkit,,18310,33167,Dead
M,No,Yes,15,Flashlight,,17655,33167,Dead
M,No,No,13,Medkit,,11580,33167,Dead
M,Yes,No,3,None,,5959,33167,Dead
F,Yes,Yes,31,Flashlight,,19704,35638,Dead
M,No,No,5,None,,17733,35638,Dead
F,No,No,6,None,,14255,35638,Dead
F,Yes,No,18,Flashlight,,6655,35638,Dead
M,No,Yes,5,None,,42292,38027,Dead
F,Yes,No,25,Medkit,,35771,38027,Dead
M,Yes,No,10,Flashlight,,15194,38027,Dead
F,No,No,20,None,,12811,38027,Dead
F,Yes,No,100,Medkit,,42901,33957,Escape
F,Yes,No,26,Medkit,,35834,33957,Escape
F,Yes,No,100,Medkit,,35675,33957,Escape
F,No,No,100,Medkit,,35632,33957,Escape
F,Yes,No,100,Medkit,,34298,44690,Dead
M,Yes,No,61,Toolbox,,21478,44690,Dead
F,Yes,No,100,Flashlight,,19328,44690,Dead
F,No,No,6,Medkit,,11345,44690,Dead
F,Yes,No,40,Medkit,,19741,31671,Escape
F,No,No,15,Medkit,,10487,31671,Dead
F,Yes,No,4,Medkit,,9439,31671,Dead
F,No,No,17,Medkit,,2162,31671,Dead
M,Yes,No,35,Medkit,,21476,33682,Dead
M,No,Yes,11,None,,16795,33682,Dead
F,No,No,67,Medkit,,11156,33682,Dead
M,No,No,53,None,,2749,33682,Dead
F,No,No,1,Medkit,,22937,38292,Dead
M,No,No,8,Medkit,,15636,38292,Dead
F,Yes,Yes,14,Medkit,,9476,38292,Dead
F,Yes,No,14,Toolbox,,5773,38292,Dead
M,Yes,Yes,39,Medkit,,34005,39860,Dead
F,No,No,4,Toolbox,,28837,39860,Dead
F,Yes,No,100,None,,23669,39860,Dead
M,Yes,No,11,Flashlight,,9636,39860,Dead
F,No,No,42,Flashlight,,12112,28471,Dead
M,Yes,No,100,Medkit,,9148,28471,Dead
F,No,No,25,Medkit,,5177,28471,Dead
F,Yes,No,40,Medkit,,3596,28471,Dead
F,No,No,11,None,,28915,45574,Dead
F,No,No,16,Medkit,,25510,45574,Dead
F,Yes,No,3,Medkit,,19241,45574,Dead
M,Yes,Yes,38,Medkit,,17463,45574,Dead
F,Yes,No,14,Flashlight,,48176,36603,Escape
M,No,No,11,Medkit,,36875,36603,Escape
F,No,Yes,6,Flashlight,,34171,36603,Escape
M,No,No,27,Medkit,,24704,36603,Dead
M,No,No,1,Medkit,,9513,25440,Dead
F,No,No,7,Medkit,,7040,25440,Dead
M,No,No,3,Medkit,,6486,25440,Dead
M,No,No,55,Medkit,,4216,25440,Dead
M,Yes,No,8,Medkit,,27731,38571,Escape
F,Yes,No,5,None,,19585,38571,Dead
F,Yes,No,3,Toolbox,,18738,38571,Dead
M,No,No,100,Flashlight,,18245,38571,Dead
F,Yes,No,2,None,,29524,24236,Escape
F,Yes,Yes,15,Flashlight,,27213,24236,Dead
M,Yes,No,55,Flashlight,,25480,24236,Escape
F,No,No,76,None,,17247,24236,Dead
F,No,No,42,Flashlight,,33833,62764,Dead
M,Yes,No,6,None,,32825,62764,Dead
F,No,No,82,Medkit,,26236,62764,Dead
F,Yes,No,30,Flashlight,,22968,62764,Dead
F,No,No,0,None,,43184,38122,Dead
F,Yes,No,26,Medkit,,20818,38122,Dead
M,Yes,No,2,None,,18405,38122,Dead
F,Yes,No,2,Medkit,,13245,38122,Dead
F,Yes,No,3,Medkit,,39309,35938,Escape
M,Yes,No,1,Flashlight,,33969,35938,Dead
M,No,No,73,Medkit,,20641,35938,Dead
F,Yes,No,54,Flashlight,,18495,35938,Dead
F,Yes,No,1,Toolbox,,26654,47092,Dead
F,Yes,No,6,None,,24737,47092,Dead
F,Yes,No,100,Flashlight,,23983,47092,Dead
M,No,No,74,Flashlight,,22149,47092,Dead
F,No,No,8,Flashlight,,20377,69934,Dead
F,Yes,Yes,3,Toolbox,,15069,69934,Dead
F,Yes,No,88,Medkit,,13543,69934,Dead
F,Yes,No,25,None,,5791,69934,Dead
M,No,No,3,Medkit,,15798,39497,Dead
M,No,Yes,64,None,,13833,39497,Dead
F,Yes,No,26,Medkit,,13013,39497,Dead
M,Yes,No,100,Medkit,,7759,39497,Dead
F,Yes,No,36,Medkit,,38217,41185,Escape
F,Yes,No,100,Medkit,,36288,41185,Escape
F,Yes,No,3,Flashlight,,24478,41185,Dead
F,Yes,No,7,None,,16138,41185,Dead
M,No,No,10,Medkit,,36989,38857,Escape
M,Yes,Yes,100,None,,30102,38857,Escape
F,Yes,No,32,None,,26732,38857,Escape
M,Yes,No,23,Medkit,,25208,38857,Dead
F,Yes,No,37,Medkit,,46594,36591,Dead
F,No,No,32,None,,43840,36591,Escape
F,Yes,No,16,Medkit,,23202,36591,Escape
M,Yes,No,3,Flashlight,,21404,36591,Dead
F,No,No,1,None,,27359,35904,Escape
M,No,No,8,None,,16247,35904,Dead
F,No,Yes,28,None,,14419,35904,Dead
M,No,Yes,3,None,,5796,35904,Dead
M,No,No,5,Medkit,,20405,38201,Dead
F,No,No,64,Flashlight,,18984,38201,Dead
M,No,No,3,Medkit,,14127,38201,Dead
F,No,No,90,None,,14007,38201,Dead
F,No,No,100,None,,30606,38385,Dead
F,Yes,Yes,100,Flashlight,,25678,38385,Dead
F,No,No,1,None,,18821,38385,Dead
M,Yes,No,0,Medkit,,14623,38385,Dead
F,Yes,No,3,Medkit,,13854,23413,Dead
M,Yes,No,0,Medkit,,11978,23413,Dead
F,No,No,100,Flashlight,,7629,23413,Dead
F,No,No,71,Flashlight,,2576,23413,Dead
M,No,No,100,Flashlight,9984,26625,29534,Escape
M,Yes,No,0,None,9984,19215,29534,Dead
F,No,Yes,2,Flashlight,9984,18981,29534,Dead
F,No,No,100,Medkit,9984,12000,29534,Dead
F,Yes,No,100,Toolbox,9984,23566,32020,Dead
M,Yes,No,49,Medkit,9984,21380,32020,Escape
M,Yes,Yes,46,Medkit,9984,19132,32020,Dead
M,Yes,No,86,Key,9984,12330,32020,Dead
F,Yes,No,4,Toolbox,8960,26392,28671,Escape
F,Yes,No,100,Flashlight,8960,20205,28671,Dead
F,No,No,2,None,8960,19501,28671,Dead
F,No,No,2,Flashlight,8960,4784,28671,Dead
M,Yes,No,22,Medkit,9984,28173,33188,Escape
M,No,No,100,Medkit,9984,23774,33188,Dead
F,Yes,No,80,None,9984,23387,33188,Dead
F,Yes,No,100,Medkit,9984,11939,33188,Dead
F,No,No,26,Toolbox,8704,23745,25849,Escape
F,No,No,48,Flashlight,8704,19297,25849,Dead
M,No,No,8,None,8704,14300,25849,Dead
F,No,No,46,Toolbox,8704,4485,25849,Dead
M,Yes,No,24,Medkit,9728,25963,25346,Escape
F,No,No,13,Medkit,9728,25482,25346,Escape
F,No,No,2,None,9728,16326,25346,Escape
F,Yes,No,2,Toolbox,9728,13759,25346,Dead
F,Yes,No,29,None,8448,16263,32565,Dead
M,No,Yes,2,Flashlight,8448,13986,32565,Dead
F,No,No,2,Medkit,8448,10955,32565,Dead
M,No,No,32,Toolbox,8448,8793,32565,Dead
F,Yes,No,15,Toolbox,9984,22690,21775,Escape
M,No,No,1,Flashlight,9984,19664,21775,Dead
M,No,No,9,Toolbox,9984,14891,21775,Dead
F,Yes,No,62,Flashlight,9984,2936,21775,Dead
F,No,No,100,Medkit,9984,36585,35987,Escape
F,Yes,No,100,Medkit,9984,26127,35987,Dead
M,No,No,66,Flashlight,9984,20036,35987,Dead
M,Yes,No,2,Medkit,9984,15971,35987,Dead
F,No,No,46,Medkit,9800,34436,35937,Escape
M,No,No,11,None,9800,21860,35937,Dead
F,No,No,18,Medkit,9800,17837,35937,Dead
F,No,Yes,3,Toolbox,9800,16103,35937,Dead
F,Yes,No,20,Medkit,10304,15265,27536,Dead
F,No,Yes,61,None,10304,14083,27536,Dead
F,Yes,No,35,Flashlight,10304,8977,27536,Dead
F,No,No,27,Medkit,10304,6500,27536,Dead
F,Yes,No,29,Medkit,10752,18280,26609,Dead
M,Yes,No,3,None,10752,9669,26609,Dead
M,Yes,No,5,Flashlight,10752,7691,26609,Dead
F,Yes,No,88,Toolbox,10752,2541,26609,Dead
F,No,No,100,Medkit,8960,25953,33120,Escape
F,No,No,30,Medkit,8960,24294,33120,Escape
F,No,No,64,Medkit,8960,20241,33120,Dead
M,No,No,36,Medkit,8960,12758,33120,Dead
F,Yes,No,26,Medkit,9216,,,Escape
M,Yes,No,100,Flashlight,9216,,,Dead
M,Yes,No,2,None,9216,,,Dead
F,No,No,3,Medkit,9216,,,Dead
F,Yes,No,6,None,9800,,,Dead
F,Yes,Yes,10,None,9800,,,Dead
F,No,No,18,None,9800,,,Dead
F,Yes,No,100,None,9800,,,Dead
M,No,No,35,Medkit,9984,,,Escape
F,Yes,No,21,Medkit,9984,,,Escape
F,Yes,No,100,Medkit,9984,,,Escape
M,No,No,6,Medkit,9984,,,Dead
M,No,No,94,Flashlight,11264,,,Escape
F,Yes,No,2,Medkit,11264,,,Escape
F,Yes,No,5,Flashlight,11264,,,Dead
F,Yes,No,100,None,11264,,,Dead
